trial,feedback,run_num,agent_interv,participant,prob_win_L,prob_win_R,mine_key.keys,L_stim_pos,R_stim_pos,intervention_choice_key.keys,subj_choice,condition,participant,latent_guess,feedback,trigger_onset,trial_onset,trial_offset,isi1_onset,isi1_offset,fb_onset,fb_offset,isi2_onset,isi2_offset,interv_onset,interv_offset,iti_onset,iti_offset,iri_onset,iri_offset
21,1,1,1,2,0.3,0.7,2,right,left,1,2,benevolent,2,1,1,801.15795,275.6622604,276.2031197,276.2050016,278.2010274,278.2103742,279.7423024,279.7442826,281.7432128,281.7507409,282.9613321,282.9708493,287.668128,421.0434919,431.0413884
22,0,1,0,2,0.3,0.7,2,right,left,1,2,benevolent,2,1,0,813.216963,287.6977038,288.2611121,288.26278,290.2602393,290.2676315,291.7927262,291.7950592,295.7943076,295.8067415,296.2202689,296.2248256,303.7019621,421.0434919,431.0413884
23,1,1,0,2,0.3,0.7,1,left,right,1,1,benevolent,2,1,1,829.47181,303.736932,304.5126158,304.5144034,306.5113594,306.5188863,308.0440216,308.0486961,312.04479,312.0578211,313.0549494,313.0636935,317.7443816,421.0434919,431.0413884
24,0,1,0,2,0.3,0.7,2,right,left,2,2,benevolent,2,0,0,843.496247,317.7740912,318.5376491,318.5393651,320.0361721,320.0420739,321.5694595,321.5713976,323.570036,323.5772472,324.563558,324.5709655,330.2777369,421.0434919,431.0413884
25,1,1,0,2,0.3,0.7,1,right,left,2,1,benevolent,2,0,1,855.626074,330.3099198,330.672205,330.6738934,333.1706889,333.1787973,334.7111964,334.7130799,336.7125057,336.7193046,339.0133823,339.0288529,343.8118984,421.0434919,431.0413884
26,1,1,0,2,0.3,0.7,2,left,right,2,2,benevolent,2,0,1,869.631865,343.8436064,344.6724632,344.6742163,346.6694815,346.674426,348.2043511,348.2063473,352.20366,352.2153146,354.5555332,354.5675805,358.8456924,421.0434919,431.0413884
27,1,1,1,2,0.3,0.7,2,left,right,2,2,benevolent,2,0,1,884.760444,358.8758753,359.8059983,359.8076782,361.3052472,361.3111773,362.8379822,362.8403177,366.8382232,366.8595819,367.4232243,367.4309736,374.3802188,421.0434919,431.0413884
28,0,1,0,2,0.3,0.7,1,right,left,1,1,benevolent,2,1,0,899.747126,374.4173983,374.7896248,374.7912983,377.288791,377.2976328,378.8300533,378.8323529,382.8311412,382.8434295,384.773766,384.7858451,390.9220617,421.0434919,431.0413884
29,1,1,0,2,0.3,0.7,1,left,right,2,1,benevolent,2,0,1,916.788371,390.9589,391.832803,391.8345198,394.3310457,394.3399897,395.8642676,395.8666094,398.8683461,398.8782182,400.8403013,400.8521867,405.4648945,421.0434919,431.0413884
30,0,1,0,2,0.3,0.7,1,left,right,2,1,benevolent,2,0,0,931.44719,405.4991975,406.4915604,406.4934397,408.9899213,408.9987361,410.5234219,410.5257361,414.5239499,414.5365416,415.2336839,415.2409189,421.0066151,421.0434919,431.0413884
1,0,2,1,2,0.3,0.7,2,right,left,2,2,adversarial,2,0,0,1000.326183,0.0583875999999464,1.56781779999994,1.57011979999993,3.06570379999994,3.07195579999996,4.59835780000003,4.60092379999992,6.59880980000003,6.60650379999993,7.25105480000002,7.25773479999998,12.5654307999999,421.7030318,431.6994158
2,0,2,1,2,0.3,0.7,1,right,left,1,1,adversarial,2,1,0,1012.002203,12.6030548,13.2421327999999,13.2451358,15.7411018,15.7500378,17.2742008,17.2765368,19.2745057999999,19.2821758,19.6591887999999,19.6633888,25.1076508,421.7030318,431.6994158
3,1,2,0,2,0.3,0.7,2,left,right,2,2,adversarial,2,0,1,1024.363275,25.1467468,25.6011558,25.6028607999999,28.0999067999999,28.1088437999999,29.6412777999999,29.6436828000001,32.6414918,32.6517798,33.7179937999999,33.7261358000001,39.6582598,421.7030318,431.6994158
4,0,2,1,2,0.3,0.7,2,right,left,2,2,adversarial,2,0,0,1039.001017,39.6988498000001,40.2441388,40.2458558000001,42.2418267999999,42.2493067999999,43.7750937999999,43.7791167999999,47.7754548,47.7879057999999,48.3774547999999,48.3838718,53.7089487999999,421.7030318,431.6994158
5,0,2,0,2,0.3,0.7,1,left,right,1,1,adversarial,2,1,0,1053.045101,53.7490588000001,54.2858408,54.2878168,56.2840627999999,56.2914347999999,57.8170497999999,57.8190348000001,59.8176168,59.8250008,60.8769758000001,60.8847198000001,67.7511147999999,421.7030318,431.6994158
6,NA,2,0,2,0.3,0.7,NA,left,right,NA,NA,adversarial,2,NA,NA,NA,67.7945708,70.2935158,70.2951618,70.2959458,70.2967928,70.3124737999999,70.3135238,70.3140698,70.3148017999999,70.3281878,70.3291747999999,83.3014857999999,421.7030318,431.6994158
7,1,2,0,2,0.3,0.7,2,left,right,1,2,adversarial,2,1,1,1082.45487,83.3597947999999,83.6950417999999,83.6964558,85.1935378000001,85.1996578000001,86.7269468,86.7292358,88.7272017999999,88.7346438,89.4376218,89.4440508,94.8603588000001,421.7030318,431.6994158
8,0,2,0,2,0.3,0.7,2,left,right,1,2,adversarial,2,1,0,1094.200649,94.9014468,95.4461888000001,95.4480017999999,97.4437968,97.4511198,98.9770157999999,98.9793368000001,100.9772868,100.9847318,101.7287598,101.7350218,106.9022298,421.7030318,431.6994158
9,0,2,1,2,0.3,0.7,1,right,left,1,1,adversarial,2,1,0,1106.050284,106.9458558,107.2960128,107.2977208,109.7947558,109.8035018,111.3279558,111.3302538,114.3282958,114.3385008,114.9048818,114.9105048,122.4528358,421.7030318,431.6994158
10,1,2,0,2,0.3,0.7,1,right,left,1,1,adversarial,2,1,1,1122.054916,122.5003408,123.2971888,123.2989118,125.2951828,125.3025158,126.8279998,126.8299448,130.8284348,130.8412438,131.9554618,131.9642888,136.5034218,421.7030318,431.6994158
11,0,2,0,2,0.3,0.7,1,left,right,2,1,adversarial,2,0,0,1136.196137,136.5482028,137.4391708,137.4408898,139.9376308,139.9464308,141.4706848,141.4730258,143.4711688,143.4787058,144.4813398,144.4893528,149.0545578,421.7030318,431.6994158
12,0,2,0,2,0.3,0.7,1,left,right,1,1,adversarial,2,1,0,1148.242109,149.0970368,149.4810198,149.4827578,150.9795298,150.9854688,152.5124698,152.5147948,156.5133378,156.5258608,156.8645048,156.8687578,163.6049578,421.7030318,431.6994158
13,0,2,1,2,0.3,0.7,2,right,left,1,2,adversarial,2,1,0,1162.967624,163.6554128,164.2065428,164.2082148,165.7052798,165.7111958,167.2381308,167.2404798,170.2384568,170.2488638,171.0902018,171.0974808,176.1637188,421.7030318,431.6994158
14,0,2,0,2,0.3,0.7,1,right,left,1,1,adversarial,2,1,0,1175.765815,176.2077478,177.0073978,177.0091158,178.5058878,178.5119778,180.0390038,180.0413158,184.0395398,184.0519938,184.4154468,184.4197558,191.7141288,421.7030318,431.6994158
15,NA,2,0,2,0.3,0.7,NA,left,right,NA,NA,adversarial,2,NA,NA,NA,191.7644048,194.2651178,194.2690688,194.2700888,194.2711228,194.2885498,194.2893978,194.2899118,194.2906008,194.3049908,194.3060278,207.2647458,421.7030318,431.6994158
16,0,2,0,2,0.3,0.7,1,right,left,1,1,adversarial,2,1,0,1207.77291,207.3271378,209.0172058,209.0192328,211.0155428,211.0225648,212.5481328,212.5504378,215.5487628,215.5591218,217.7842808,217.7981618,221.3321468,421.7030318,431.6994158
17,0,2,1,2,0.3,0.7,1,left,right,1,1,adversarial,2,1,0,1220.899525,221.3770208,222.1422948,222.1440078,224.1411018,224.1507728,225.6735738,225.6755998,229.6744568,229.6867068,231.0673058,231.0772938,236.3825978,421.7030318,431.6994158
18,0,2,0,2,0.3,0.7,1,left,right,1,1,adversarial,2,1,0,1236.069549,236.4298028,237.3090608,237.3106518,239.8081038,239.8168838,241.3493178,241.3509038,243.3498318,243.3573888,244.1270688,244.1339048,248.9333338,421.7030318,431.6994158
19,0,2,0,2,0.3,0.7,1,right,left,1,1,adversarial,2,1,0,1248.708374,248.9808878,249.9520338,249.9537318,251.9502118,251.9577718,253.4833078,253.4876578,257.4837728,257.4960688,258.0275898,258.0330668,264.9840408,421.7030318,431.6994158
20,1,2,0,2,0.3,0.7,2,left,right,2,2,adversarial,2,0,1,1264.284095,265.0364178,265.5271678,265.5288738,267.0258328,267.0317468,268.5589088,268.5608828,270.5591628,270.5666118,271.5440988,271.5518448,278.5428058,421.7030318,431.6994158
21,1,2,0,2,0.3,0.7,1,left,right,2,1,adversarial,2,0,1,1279.155128,278.5950888,280.3952298,280.3969028,281.8933678,281.8989868,283.4270138,283.4311838,287.4269988,287.4395698,287.8703058,287.8750488,294.1023788,421.7030318,431.6994158
